id,HoraFecha,h
281,11:37:34 31/3/2022,60
282,11:44:12 31/3/2022,59
283,11:50:50 31/3/2022,61
284,11:57:20 31/3/2022,63
285,12:03:51 31/3/2022,64
286,12:10:22 31/3/2022,64
287,12:16:59 31/3/2022,65
288,12:23:36 31/3/2022,67
289,12:30:02 31/3/2022,67
290,12:36:33 31/3/2022,68
291,12:43:04 31/3/2022,68
292,12:49:35 31/3/2022,68
293,12:56:00 31/3/2022,68
294,13:02:26 31/3/2022,69
295,13:08:52 31/3/2022,70
296,13:15:17 31/3/2022,69
297,13:21:48 31/3/2022,69
298,13:28:14 31/3/2022,67
299,13:34:45 31/3/2022,64
300,13:41:22 31/3/2022,65
301,13:47:53 31/3/2022,67
302,13:54:31 31/3/2022,70
303,14:01:02 31/3/2022,70
304,14:07:39 31/3/2022,70
305,14:14:16 31/3/2022,72
306,14:20:48 31/3/2022,72
307,14:27:25 31/3/2022,74
308,14:35:05 31/3/2022,78
309,14:41:37 31/3/2022,77
310,14:48:08 31/3/2022,73
311,14:54:45 31/3/2022,74
312,15:01:16 31/3/2022,74
313,15:07:54 31/3/2022,69
314,15:14:24 31/3/2022,72
315,15:21:01 31/3/2022,72
316,15:27:33 31/3/2022,74
317,15:34:10 31/3/2022,72
318,15:40:47 31/3/2022,71
319,15:47:25 31/3/2022,73
320,15:54:02 31/3/2022,72
321,16:00:40 31/3/2022,72
322,16:07:17 31/3/2022,75
323,16:13:55 31/3/2022,74
324,16:20:26 31/3/2022,74
325,16:27:05 31/3/2022,75
326,16:33:31 31/3/2022,80
327,16:40:09 31/3/2022,80
328,16:46:41 31/3/2022,82
329,16:53:19 31/3/2022,82
330,16:59:58 31/3/2022,82
331,17:06:29 31/3/2022,82
332,17:13:00 31/3/2022,84
333,17:19:31 31/3/2022,95
334,17:26:02 31/3/2022,95
335,17:32:40 31/3/2022,95
336,17:39:17 31/3/2022,95
337,17:45:57 31/3/2022,95
338,17:52:35 31/3/2022,95
339,17:59:13 31/3/2022,95
340,18:05:52 31/3/2022,95
341,18:12:30 31/3/2022,95
342,18:19:08 31/3/2022,95
343,18:26:50 31/3/2022,95
344,18:33:29 31/3/2022,95
345,18:40:08 31/3/2022,95
346,18:46:47 31/3/2022,95
347,18:53:26 31/3/2022,95
348,19:00:06 31/3/2022,95
349,19:06:44 31/3/2022,95
350,19:13:23 31/3/2022,95
351,19:20:02 31/3/2022,95
352,19:26:42 31/3/2022,95
353,19:33:21 31/3/2022,95
354,19:40:00 31/3/2022,95
355,19:46:40 31/3/2022,95
356,19:53:18 31/3/2022,95
357,19:59:57 31/3/2022,95
358,20:06:37 31/3/2022,95
