id,HoraFecha,h2
265,09:47:32 31/3/2022,74
266,09:54:16 31/3/2022,75
267,10:00:59 31/3/2022,74
268,10:07:45 31/3/2022,74
269,10:14:28 31/3/2022,75
270,10:21:09 31/3/2022,75
271,10:27:56 31/3/2022,75
272,10:34:44 31/3/2022,75
273,10:41:31 31/3/2022,75
274,10:48:14 31/3/2022,75
275,11:03:44 31/3/2022,5
276,11:11:34 31/3/2022,61
277,11:18:06 31/3/2022,70
278,11:24:44 31/3/2022,70
279,11:31:22 31/3/2022,70
280,11:37:59 31/3/2022,70
281,11:44:36 31/3/2022,71
282,11:51:15 31/3/2022,70
283,11:57:45 31/3/2022,67
284,12:04:15 31/3/2022,67
285,12:10:47 31/3/2022,66
286,12:17:24 31/3/2022,70
287,12:24:01 31/3/2022,69
288,12:30:27 31/3/2022,67
289,12:36:58 31/3/2022,67
290,12:43:29 31/3/2022,70
291,12:50:00 31/3/2022,69
292,12:56:25 31/3/2022,67
293,13:02:51 31/3/2022,68
294,13:09:17 31/3/2022,66
295,13:15:42 31/3/2022,67
296,13:22:13 31/3/2022,64
297,13:28:39 31/3/2022,68
298,13:35:10 31/3/2022,70
299,13:41:47 31/3/2022,70
300,13:48:18 31/3/2022,68
301,13:54:56 31/3/2022,69
302,14:01:27 31/3/2022,71
303,14:08:04 31/3/2022,69
304,14:14:41 31/3/2022,70
305,14:21:12 31/3/2022,68
306,14:27:50 31/3/2022,70
307,14:35:30 31/3/2022,72
308,14:42:01 31/3/2022,68
309,14:48:33 31/3/2022,68
310,14:55:09 31/3/2022,71
311,15:01:41 31/3/2022,68
312,15:08:19 31/3/2022,70
313,15:14:49 31/3/2022,69
314,15:21:26 31/3/2022,70
315,15:27:58 31/3/2022,68
316,15:34:35 31/3/2022,72
317,15:41:12 31/3/2022,71
318,15:47:50 31/3/2022,70
319,15:54:27 31/3/2022,70
320,16:01:04 31/3/2022,71
321,16:07:42 31/3/2022,70
322,16:14:19 31/3/2022,69
323,16:20:51 31/3/2022,66
324,16:27:30 31/3/2022,70
325,16:33:56 31/3/2022,68
326,16:40:34 31/3/2022,71
327,16:47:05 31/3/2022,67
328,16:53:44 31/3/2022,69
329,17:00:22 31/3/2022,69
330,17:06:54 31/3/2022,67
331,17:13:24 31/3/2022,67
332,17:19:55 31/3/2022,68
333,17:26:27 31/3/2022,68
334,17:33:05 31/3/2022,70
335,17:39:42 31/3/2022,70
336,17:46:22 31/3/2022,73
337,17:53:00 31/3/2022,72
338,17:59:38 31/3/2022,71
339,18:06:17 31/3/2022,71
340,18:12:55 31/3/2022,72
341,18:19:33 31/3/2022,73
342,18:27:15 31/3/2022,68
343,18:33:54 31/3/2022,72
344,18:40:33 31/3/2022,73
345,18:47:12 31/3/2022,74
346,18:53:51 31/3/2022,72
347,19:00:31 31/3/2022,72
348,19:07:10 31/3/2022,70
349,19:13:48 31/3/2022,74
350,19:20:27 31/3/2022,73
351,19:27:07 31/3/2022,72
352,19:33:46 31/3/2022,74
353,19:40:25 31/3/2022,70
354,19:47:05 31/3/2022,73
355,19:53:43 31/3/2022,70
356,20:00:22 31/3/2022,74
357,20:07:02 31/3/2022,73
358,20:13:42 31/3/2022,74
359,20:20:22 31/3/2022,72
360,20:27:00 31/3/2022,72
361,20:33:40 31/3/2022,72
362,20:40:20 31/3/2022,72
363,20:46:59 31/3/2022,72
364,20:53:37 31/3/2022,74
365,21:00:18 31/3/2022,70
366,21:05:15 31/3/2022,72
367,21:11:54 31/3/2022,72
368,21:20:11 31/3/2022,74
369,21:26:48 31/3/2022,72
370,21:33:27 31/3/2022,72
371,21:40:06 31/3/2022,72
372,21:46:50 31/3/2022,74
373,21:53:32 31/3/2022,71
374,22:00:15 31/3/2022,71
375,22:06:56 31/3/2022,70
376,22:13:35 31/3/2022,71
377,22:20:14 31/3/2022,73
378,22:26:54 31/3/2022,71
379,22:33:34 31/3/2022,74
380,22:40:18 31/3/2022,71
381,22:46:57 31/3/2022,74
382,22:53:36 31/3/2022,72
383,23:00:15 31/3/2022,69
384,23:06:55 31/3/2022,70
385,23:13:34 31/3/2022,71
386,23:20:16 31/3/2022,73
387,23:26:55 31/3/2022,71
388,23:33:39 31/3/2022,70
389,23:40:20 31/3/2022,71
390,23:47:00 31/3/2022,70
391,23:53:39 31/3/2022,72
392,00:00:18 1/4/2022,71
393,00:07:05 1/4/2022,71
394,00:13:55 1/4/2022,71
395,00:20:44 1/4/2022,73
396,00:27:24 1/4/2022,75
397,00:34:02 1/4/2022,73
398,00:40:42 1/4/2022,71
399,00:47:22 1/4/2022,72
400,00:54:01 1/4/2022,73
401,01:00:40 1/4/2022,71
402,01:07:21 1/4/2022,69
403,01:13:59 1/4/2022,70
404,01:20:40 1/4/2022,72
405,01:27:18 1/4/2022,71
406,01:33:58 1/4/2022,73
407,01:40:36 1/4/2022,72
408,01:47:15 1/4/2022,70
409,01:53:54 1/4/2022,72
410,02:00:34 1/4/2022,74
411,02:07:14 1/4/2022,72
412,02:13:53 1/4/2022,70
413,02:20:54 1/4/2022,72
414,02:27:36 1/4/2022,72
415,02:34:26 1/4/2022,74
416,02:41:28 1/4/2022,72
417,02:48:16 1/4/2022,72
418,02:55:04 1/4/2022,72
419,03:01:44 1/4/2022,72
420,03:08:23 1/4/2022,73
421,03:15:02 1/4/2022,72
422,03:21:46 1/4/2022,74
423,03:28:39 1/4/2022,70
424,03:35:35 1/4/2022,72
425,03:42:44 1/4/2022,72
426,03:49:34 1/4/2022,73
427,03:56:26 1/4/2022,70
428,04:03:10 1/4/2022,71
429,04:09:51 1/4/2022,70
430,04:16:34 1/4/2022,72
431,04:23:26 1/4/2022,73
432,04:30:16 1/4/2022,72
433,04:37:03 1/4/2022,71
434,04:43:43 1/4/2022,72
435,04:50:22 1/4/2022,72
436,04:57:01 1/4/2022,72
437,05:03:40 1/4/2022,73
438,05:10:19 1/4/2022,70
439,05:16:58 1/4/2022,70
440,05:23:37 1/4/2022,72
441,05:30:15 1/4/2022,72
442,05:36:55 1/4/2022,72
443,05:43:34 1/4/2022,73
444,05:50:14 1/4/2022,72
445,05:56:56 1/4/2022,73
446,06:03:36 1/4/2022,73
447,06:10:22 1/4/2022,70
448,06:17:02 1/4/2022,71
449,06:23:45 1/4/2022,70
450,06:30:25 1/4/2022,71
451,06:37:04 1/4/2022,73
452,06:43:43 1/4/2022,71
453,06:50:22 1/4/2022,71
454,06:57:02 1/4/2022,70
455,07:03:41 1/4/2022,69
456,07:10:21 1/4/2022,70
457,07:17:01 1/4/2022,71
458,07:23:27 1/4/2022,65
459,07:29:54 1/4/2022,62
460,07:36:20 1/4/2022,67
461,07:42:47 1/4/2022,66
462,07:49:19 1/4/2022,69
463,07:55:46 1/4/2022,64
464,08:02:13 1/4/2022,68
465,08:08:52 1/4/2022,70
466,08:15:33 1/4/2022,69
