id,HoraFecha,h2
323,16:21:16 31/3/2022,97
324,16:27:55 31/3/2022,97
325,16:34:20 31/3/2022,97
326,16:40:59 31/3/2022,97
327,16:47:30 31/3/2022,95
328,16:54:08 31/3/2022,96
329,17:00:47 31/3/2022,96
330,17:07:19 31/3/2022,94
331,17:13:49 31/3/2022,91
332,17:20:20 31/3/2022,91
333,17:26:52 31/3/2022,90
334,17:33:30 31/3/2022,89
335,17:40:07 31/3/2022,83
336,17:46:46 31/3/2022,80
337,17:53:25 31/3/2022,77
338,18:00:04 31/3/2022,77
339,18:06:42 31/3/2022,71
340,18:13:20 31/3/2022,62
341,18:19:58 31/3/2022,56
342,18:27:40 31/3/2022,49
343,18:34:19 31/3/2022,27
344,18:40:58 31/3/2022,7
345,18:47:37 31/3/2022,24
346,18:54:16 31/3/2022,5
347,19:00:56 31/3/2022,26
348,19:07:34 31/3/2022,32
349,19:14:13 31/3/2022,31
350,19:20:52 31/3/2022,31
351,19:27:32 31/3/2022,31
352,19:34:11 31/3/2022,33
353,19:40:49 31/3/2022,32
354,19:47:30 31/3/2022,33
355,19:54:08 31/3/2022,32
356,20:00:47 31/3/2022,31
357,20:07:26 31/3/2022,31
358,20:14:07 31/3/2022,33
359,20:20:46 31/3/2022,31
360,20:27:25 31/3/2022,32
361,20:34:06 31/3/2022,33
362,20:40:45 31/3/2022,33
363,20:47:24 31/3/2022,33
364,20:54:02 31/3/2022,31
365,21:00:43 31/3/2022,31
366,21:05:40 31/3/2022,31
367,21:12:19 31/3/2022,33
368,21:20:36 31/3/2022,31
369,21:27:13 31/3/2022,32
370,21:33:54 31/3/2022,32
371,21:40:31 31/3/2022,33
372,21:47:15 31/3/2022,33
373,21:53:57 31/3/2022,34
374,22:00:40 31/3/2022,34
375,22:07:21 31/3/2022,31
376,22:14:00 31/3/2022,33
377,22:20:38 31/3/2022,33
378,22:27:18 31/3/2022,32
379,22:33:59 31/3/2022,32
380,22:40:43 31/3/2022,32
